duty cycle (-)	amplitude (Pa)	normalized firing rate (-)
0.23076923076923075	600000.0000000003	0.999733930995056
0.2564102564102564	10000.0	
0.2564102564102564	11106.919438024492	
0.2564102564102564	12336.365940276655	
0.2564102564102564	13701.902265664208	
0.2564102564102564	15218.592461241791	
0.2564102564102564	16903.168042713947	
0.2564102564102564	18774.21256978144	
0.2564102564102564	20852.366652490917	
0.2564102564102564	23160.555650136557	
0.2564102564102564	25724.24257459497	
0.2564102564102564	28571.708988022667	
0.2564102564102564	31734.366993664804	
0.2564102564102564	35247.10576153392	
0.2564102564102564	39148.67641168862	
0.2564102564102564	43482.11950099161	
0.2564102564102564	48295.23982920676	
0.2564102564102564	53641.13380230722	
0.2564102564102564	59578.775170651876	
0.2564102564102564	66173.66560366057	
0.2564102564102564	73498.55727786303	
0.2564102564102564	81634.25544962553	
0.2564102564102564	90670.50986621024	0.9997192817765512
0.2564102564102564	100707.0048488604	0.9996694975457764
0.2564102564102564	111854.45897010346	0.9996316387901504
0.2564102564102564	124235.84645647575	0.999695012649989
0.2564102564102564	137987.75379068567	0.999727582443619
0.2564102564102564	153261.88647871045	0.9997243199241382
0.2564102564102564	170226.74260386958	0.9997541190709928
0.2564102564102564	189069.4716298515	0.9997579203540145
0.2564102564102564	209997.93895826172	0.9997697379496808
0.2564102564102564	233243.01901605987	0.9997170789223836
0.2564102564102564	259061.14216929968	0.9997507472483778
0.2564102564102564	287737.1235597027	0.999768676419564
0.2564102564102564	319587.3050706517	0.9997299359166759
0.2564102564102564	354963.04508350854	0.9997845743772998
0.2564102564102564	394254.5945218393	0.99973510498652
0.2564102564102564	437895.401942509	0.9997281659513704
0.2564102564102564	486366.8951656802	0.9998015594492516
0.2564102564102564	540203.7921927313	0.9996997080657672
0.2564102564102564	600000.0000000003	0.9997611679512596
0.28205128205128205	10000.0	
0.28205128205128205	11106.919438024492	
0.28205128205128205	12336.365940276655	
0.28205128205128205	13701.902265664208	
0.28205128205128205	15218.592461241791	
0.28205128205128205	16903.168042713947	
0.28205128205128205	18774.21256978144	
0.28205128205128205	20852.366652490917	
0.28205128205128205	23160.555650136557	
0.28205128205128205	25724.24257459497	
0.28205128205128205	28571.708988022667	
0.28205128205128205	31734.366993664804	
0.28205128205128205	35247.10576153392	
0.28205128205128205	39148.67641168862	
0.28205128205128205	43482.11950099161	
0.28205128205128205	48295.23982920676	
0.28205128205128205	53641.13380230722	
0.28205128205128205	59578.775170651876	
0.28205128205128205	66173.66560366057	
0.28205128205128205	73498.55727786303	
0.28205128205128205	81634.25544962553	
0.28205128205128205	90670.50986621024	0.999672640514754
0.28205128205128205	100707.0048488604	0.9996073669249272
0.28205128205128205	111854.45897010346	0.9996745696920726
0.28205128205128205	124235.84645647575	0.9997065557949076
0.28205128205128205	137987.75379068567	0.9996794148023423
0.28205128205128205	153261.88647871045	0.9996613371368608
0.28205128205128205	170226.74260386958	0.9997409686080512
0.28205128205128205	189069.4716298515	0.9997379329195162
0.28205128205128205	209997.93895826172	0.9997075300849956
0.28205128205128205	233243.01901605987	0.9997038797504072
0.28205128205128205	259061.14216929968	0.9997048589570704
0.28205128205128205	287737.1235597027	0.9997334900157262
0.28205128205128205	319587.3050706517	0.999762035472044
0.28205128205128205	354963.04508350854	0.9997250670065824
0.28205128205128205	394254.5945218393	0.999741613855097
0.28205128205128205	437895.401942509	0.999742125068936
0.28205128205128205	486366.8951656802	0.9997219049639208
0.28205128205128205	540203.7921927313	0.9997143140027276
0.28205128205128205	600000.0000000003	0.9997946267330272
0.3076923076923077	10000.0	
0.3076923076923077	11106.919438024492	
0.3076923076923077	12336.365940276655	
0.3076923076923077	13701.902265664208	
0.3076923076923077	15218.592461241791	
0.3076923076923077	16903.168042713947	
0.3076923076923077	18774.21256978144	
0.3076923076923077	20852.366652490917	
0.3076923076923077	23160.555650136557	
0.3076923076923077	25724.24257459497	
0.3076923076923077	28571.708988022667	
0.3076923076923077	31734.366993664804	
0.3076923076923077	35247.10576153392	
0.3076923076923077	39148.67641168862	
0.3076923076923077	43482.11950099161	
0.3076923076923077	48295.23982920676	
0.3076923076923077	53641.13380230722	
0.3076923076923077	59578.775170651876	
0.3076923076923077	66173.66560366057	
0.3076923076923077	73498.55727786303	
0.3076923076923077	81634.25544962553	
0.3076923076923077	90670.50986621024	0.9996389406048932
0.3076923076923077	100707.0048488604	0.9996108973279788
0.3076923076923077	111854.45897010346	0.9995956656720979
0.3076923076923077	124235.84645647575	0.9996438750404836
0.3076923076923077	137987.75379068567	0.99963623375469
0.3076923076923077	153261.88647871045	0.9997002297641416
0.3076923076923077	170226.74260386958	0.9997209424947076
0.3076923076923077	189069.4716298515	0.9997162532142888
0.3076923076923077	209997.93895826172	0.9997051089901406
0.3076923076923077	233243.01901605987	0.9996740578241944
0.3076923076923077	259061.14216929968	0.9996585411238672
0.3076923076923077	287737.1235597027	0.999680071805438
0.3076923076923077	319587.3050706517	0.9997659156055034
0.3076923076923077	354963.04508350854	0.9997633995916312
0.3076923076923077	394254.5945218393	0.9996951027904244
0.3076923076923077	437895.401942509	0.9997196085627243
0.3076923076923077	486366.8951656802	0.9997394522854964
0.3076923076923077	540203.7921927313	0.9997295541365592
0.3076923076923077	600000.0000000003	0.9997409386042349
0.3333333333333333	10000.0	
0.3333333333333333	11106.919438024492	
0.3333333333333333	12336.365940276655	
0.3333333333333333	13701.902265664208	
0.3333333333333333	15218.592461241791	
0.3333333333333333	16903.168042713947	
0.3333333333333333	18774.21256978144	
0.3333333333333333	20852.366652490917	
0.3333333333333333	23160.555650136557	
0.3333333333333333	25724.24257459497	
0.3333333333333333	28571.708988022667	
0.3333333333333333	31734.366993664804	
0.3333333333333333	35247.10576153392	
0.3333333333333333	39148.67641168862	
0.3333333333333333	43482.11950099161	
0.3333333333333333	48295.23982920676	
0.3333333333333333	53641.13380230722	
0.3333333333333333	59578.775170651876	
0.3333333333333333	66173.66560366057	
0.3333333333333333	73498.55727786303	
0.3333333333333333	81634.25544962553	
0.3333333333333333	90670.50986621024	0.9996487967153328
0.3333333333333333	100707.0048488604	0.9995907853741476
0.3333333333333333	111854.45897010346	0.9996224565452292
0.3333333333333333	124235.84645647575	0.9996349320451752
0.3333333333333333	137987.75379068567	0.9996385030754066
0.3333333333333333	153261.88647871045	0.9996976593392092
0.3333333333333333	170226.74260386958	0.9996896787504196
0.3333333333333333	189069.4716298515	0.9997238391690341
0.3333333333333333	209997.93895826172	0.9996479788961692
0.3333333333333333	233243.01901605987	0.9996728678998896
0.3333333333333333	259061.14216929968	0.9997211872962036
0.3333333333333333	287737.1235597027	0.9996855031910279
0.3333333333333333	319587.3050706517	0.9996758651323284
0.3333333333333333	354963.04508350854	0.99972805638403
0.3333333333333333	394254.5945218393	0.9996438626512252
0.3333333333333333	437895.401942509	0.9997537947939662
0.3333333333333333	486366.8951656802	0.9997003868564488
0.3333333333333333	540203.7921927313	0.9997415167611636
0.3333333333333333	600000.0000000003	0.9997579680575762
0.35897435897435903	10000.0	
0.35897435897435903	11106.919438024492	
0.35897435897435903	12336.365940276655	
0.35897435897435903	13701.902265664208	
0.35897435897435903	15218.592461241791	
0.35897435897435903	16903.168042713947	
0.35897435897435903	18774.21256978144	
0.35897435897435903	20852.366652490917	
0.35897435897435903	23160.555650136557	
0.35897435897435903	25724.24257459497	
0.35897435897435903	28571.708988022667	
0.35897435897435903	31734.366993664804	
0.35897435897435903	35247.10576153392	
0.35897435897435903	39148.67641168862	
0.35897435897435903	43482.11950099161	
0.35897435897435903	48295.23982920676	
0.35897435897435903	53641.13380230722	
0.35897435897435903	59578.775170651876	
0.35897435897435903	66173.66560366057	
0.35897435897435903	73498.55727786303	
0.35897435897435903	81634.25544962553	
0.35897435897435903	90670.50986621024	0.9996380259032078
0.35897435897435903	100707.0048488604	0.99951115689064
0.35897435897435903	111854.45897010346	0.9995628757180802
0.35897435897435903	124235.84645647575	0.9996077863434054
0.35897435897435903	137987.75379068567	0.9996339947445464
0.35897435897435903	153261.88647871045	0.9996484612002174
0.35897435897435903	170226.74260386958	0.9996543667386094
0.35897435897435903	189069.4716298515	0.9996410939291328
0.35897435897435903	209997.93895826172	0.9996652658208988
0.35897435897435903	233243.01901605987	0.9996260242614978
0.35897435897435903	259061.14216929968	0.9996750743606366
0.35897435897435903	287737.1235597027	0.9996628382412548
0.35897435897435903	319587.3050706517	0.9997508203630184
0.35897435897435903	354963.04508350854	0.9996533543835592
0.35897435897435903	394254.5945218393	0.9996845506012388
0.35897435897435903	437895.401942509	0.9997378937939608
0.35897435897435903	486366.8951656802	0.9996844851742708
0.35897435897435903	540203.7921927313	0.9996926500779362
0.35897435897435903	600000.0000000003	0.9997194787646048
0.3846153846153846	10000.0	
0.3846153846153846	11106.919438024492	
0.3846153846153846	12336.365940276655	
0.3846153846153846	13701.902265664208	
0.3846153846153846	15218.592461241791	
0.3846153846153846	16903.168042713947	
0.3846153846153846	18774.21256978144	
0.3846153846153846	20852.366652490917	
0.3846153846153846	23160.555650136557	
0.3846153846153846	25724.24257459497	
0.3846153846153846	28571.708988022667	
0.3846153846153846	31734.366993664804	
0.3846153846153846	35247.10576153392	
0.3846153846153846	39148.67641168862	
0.3846153846153846	43482.11950099161	
0.3846153846153846	48295.23982920676	
0.3846153846153846	53641.13380230722	
0.3846153846153846	59578.775170651876	
0.3846153846153846	66173.66560366057	
0.3846153846153846	73498.55727786303	
0.3846153846153846	81634.25544962553	
0.3846153846153846	90670.50986621024	0.9995683592354512
0.3846153846153846	100707.0048488604	0.9995460810551752
0.3846153846153846	111854.45897010346	0.999550857054772
0.3846153846153846	124235.84645647575	0.9995999606592764
0.3846153846153846	137987.75379068567	0.9995949098203836
0.3846153846153846	153261.88647871045	0.9996069334957496
0.3846153846153846	170226.74260386958	0.99963499324702
0.3846153846153846	189069.4716298515	0.9996066862536293
0.3846153846153846	209997.93895826172	0.9995987606829289
0.3846153846153846	233243.01901605987	0.99964981286054
0.3846153846153846	259061.14216929968	0.999704269968096
0.3846153846153846	287737.1235597027	0.9996854066246053
0.3846153846153846	319587.3050706517	0.9997014594935894
0.3846153846153846	354963.04508350854	0.9996966909463318
0.3846153846153846	394254.5945218393	0.9996628940193526
0.3846153846153846	437895.401942509	0.9996813840671892
0.3846153846153846	486366.8951656802	0.999739887316724
0.3846153846153846	540203.7921927313	0.9996509563597508
0.3846153846153846	600000.0000000003	0.999701466807102
0.41025641025641024	10000.0	
0.41025641025641024	11106.919438024492	
0.41025641025641024	12336.365940276655	
0.41025641025641024	13701.902265664208	
0.41025641025641024	15218.592461241791	
0.41025641025641024	16903.168042713947	
0.41025641025641024	18774.21256978144	
0.41025641025641024	20852.366652490917	
0.41025641025641024	23160.555650136557	
0.41025641025641024	25724.24257459497	
0.41025641025641024	28571.708988022667	
0.41025641025641024	31734.366993664804	
0.41025641025641024	35247.10576153392	
0.41025641025641024	39148.67641168862	
0.41025641025641024	43482.11950099161	
0.41025641025641024	48295.23982920676	
0.41025641025641024	53641.13380230722	
0.41025641025641024	59578.775170651876	
0.41025641025641024	66173.66560366057	
0.41025641025641024	73498.55727786303	
0.41025641025641024	81634.25544962553	
